name;location
90 - Vallekilde-Hørve Friskole at Odsherred (8,2);Vallekilde-Hørve Friskole
91 - Køge Bugt Privatskole at Solrød (8,2);Køge Bugt Privatskole
92 - Viborg Private Realskole at Viborg (8,2);Viborg Private Realskole
93 - Hareskovens Lilleskole at Ballerup (8,2);Hareskovens Lilleskole
94 - Østerbro Lilleskole at København (8,2);Østerbro Lilleskole
95 - Bernadotteskolen at Gentofte (8,2);Bernadotteskolen
96 - Stenhus Kostskole at Holbæk (8,2);Stenhus Kostskole
97 - Nykøbing F Realskole at Guldborgsund (8,2);Nykøbing F Realskole
98 - Lukas-Skolen at Vejle (8,2);Lukas-Skolen
99 - Copenhagen International School at København (8,2);Copenhagen International School
100 - Jakobskolen at Aarhus (8,1);Jakobskolen
101 - Kegnæs Friskole at Sønderborg (8,1);Kegnæs Friskole
102 - Sigerslevøster Privatskole at Hillerød (8,1);Sigerslevøster Privatskole
103 - Gideonskolen at Vallensbæk (8,1);Gideonskolen
104 - Helsinge Realskole at Gribskov (8,1);Helsinge Realskole
105 - Amager Privatskole at Tårnby (8,1);Amager Privatskole
106 - Roskilde Private Realskole at Roskilde (8,1);Roskilde Private Realskole
107 - Køge Private Realskole at Køge (8,1);Køge Private Realskole
108 - Hørsholm Lille Skole at Hørsholm (8,1);Hørsholm Lille Skole
109 - Sejergaardsskolen at Holbæk (8,1);Sejergaardsskolen
110 - Den Lille Skole at Gladsaxe (8,1);Den Lille Skole
111 - Sankt Birgitta Skole at Lolland (8,1);Sankt Birgitta Skole
112 - Bordings Friskole at København (8,1);Bordings Friskole
113 - Klostermarksskolen at Aalborg (8,1);Klostermarksskolen
114 - Præstø Privatskole at Vordingborg (8,1);Præstø Privatskole
115 - Elise Smiths Skole at Aarhus (8,0);Elise Smiths Skole
116 - Kornmod Realskole at Silkeborg (8,0);Kornmod Realskole
117 - Marie Mørks Skole at Hillerød (8,0);Marie Mørks Skole
118 - Bregninge-Bjergsted Friskole at Kalundborg (8,0);Bregninge-Bjergsted Friskole
119 - Sct. Norberts Skole at Vejle (8,0);Sct. Norberts Skole
120 - Nr Lyndelse Friskole at Faaborg-Midtfyn (8,0);Nr Lyndelse Friskole
121 - Sct. Joseph Søstrenes Skole S/I at Gentofte (8,0);Sct. Joseph Søstrenes Skole S/I
122 - Ådalskolen at Odense (8,0);Ådalskolen
123 - Tølløse Privat- og Efterskole, Baptisternes Skoler at Holbæk (8,0);Tølløse Privat- og Efterskole, Baptisternes Skoler
124 - Rygaards Skole at Gentofte (8,0);Rygaards Skole
125 - Københavns Skole & Idrætsakademi at København (8,0);Københavns Skole & Idrætsakademi
126 - Privatskolen i Sæby at Frederikshavn (8,0);Privatskolen i Sæby
127 - Haslev Privatskole at Faxe (7,9);Haslev Privatskole
128 - Bagsværd Friskole (Hanna-Skolen) at Gladsaxe (7,9);Bagsværd Friskole (Hanna-Skolen)
129 - Højby Friskole at Odense (7,9);Højby Friskole
130 - Laursens Realskole at Aarhus (7,9);Laursens Realskole
131 - Bornholms Frie Idrætsskole at Bornholm (7,9);Bornholms Frie Idrætsskole
132 - Frøbjerg-Orte Friskole at Assens (7,9);Frøbjerg-Orte Friskole
133 - Kassebølle Friskole at Langeland (7,9);Kassebølle Friskole
134 - Hjørring Private Realskole at Hjørring (7,9);Hjørring Private Realskole
135 - Esbjerg Realskole at Esbjerg (7,9);Esbjerg Realskole
136 - Rathlouskolen at Odder (7,9);Rathlouskolen
137 - Hulvej Privatskole at Horsens (7,9);Hulvej Privatskole
138 - Sct. Albani Skole at Odense (7,9);Sct. Albani Skole
139 - Hundige Lille Skole at Greve (7,9);Hundige Lille Skole
140 - Øbro Fri Skole at København (7,8);Øbro Fri Skole
141 - Lille Egede Friskole at Slagelse (7,8);Lille Egede Friskole
142 - Odense Friskole at Odense (7,8);Odense Friskole
143 - Søborg Privatskole at Gribskov (7,8);Søborg Privatskole
144 - Taastrup Realskole at Høje-Taastrup (7,8);Taastrup Realskole
145 - Kon Tiki - Børnenes Skole at Hillerød (7,8);Kon Tiki - Børnenes Skole
146 - Jelling Friskole at Vejle (7,8);Jelling Friskole
147 - Sct Joseph Skole at Ringsted (7,8);Sct Joseph Skole
148 - Hellested Friskole og Børnehus at Stevns (7,8);Hellested Friskole og Børnehus
149 - Privatskolen Nakskov at Lolland (7,8);Privatskolen Nakskov
150 - Den Fri Hestehaveskole at Skanderborg (7,8);Den Fri Hestehaveskole
151 - Balletskolen at Holstebro (7,8);Balletskolen
152 - Grindsted Privatskole at Billund (7,8);Grindsted Privatskole
153 - Solsideskolen at Aalborg (7,8);Solsideskolen
154 - Tandslet Friskole at Sønderborg (7,8);Tandslet Friskole
155 - Hvidovre Privatskole at Hvidovre (7,7);Hvidovre Privatskole
